satPRN,GPS time,Sat.X,Sat.Y,Sat.Z,pseudorange,cn0,Pos.X,Pos.Y,Pos.Z,Lat,Lon,Alt
G03,3139.3385134040145,23173479.482240584,-12102446.045672685,4147832.625594413,24131358.53474073,44.3,32.16885700697582,34.81365360957059,67.16203436162323,4436894.278006596,3085290.164793738,3376331.6249511316
G03,3141.3385165710934,23172809.915852107,-12101479.67473145,4154185.196240549,24130409.08114038,45.3,32.16886572625077,34.81365546971684,59.026705850847065,4436888.1013570735,3085286.0834263223,3376328.1120235934
G03,3143.3385197180323,23172139.13219523,-12100512.32534123,4160537.4096261994,24129465.66531536,37.5,32.16892206526988,34.81355602272825,72.90597279276699,4436900.371228978,3085283.190765289,3376340.789964427
G03,3144.3385212400462,23171803.28400652,-12100028.283656344,4163713.3820358217,24129009.383395333,34.6,32.1688256270996,34.813704121850776,68.06837762892246,4436893.708946833,3085295.5720964265,3376329.161959032
G03,3145.338522857055,23171467.13158768,-12099543.997199925,4166889.265242708,24128524.62271995,37.7,32.16882639944227,34.81361977589862,66.01921046897769,4436896.789295299,3085288.0241544456,3376328.1434478355
G03,3146.3385244560195,23171130.675016988,-12099059.465989567,4170065.058819416,24128045.271612074,37.2,32.1689371655291,34.81343474110139,73.98195635620505,4436906.917860918,3085273.80989381,3376342.780256957
G03,3147.3385260140058,23170793.9143426,-12098574.689999163,4173240.762624696,24127578.20545748,33.6,32.16881267101162,34.813597909281015,64.54956432059407,4436897.610866092,3085286.0833465015,3376326.0723348623
G03,3150.338530758978,23169781.807992168,-12097118.892826293,4182767.33573398,24126155.717728063,28.9,32.16894539194336,34.81344598597315,76.10156650282443,4436907.386660717,3085275.4277241826,3376344.6809656643
G03,3151.338532274007,23169443.83126449,-12096633.137288598,4185942.6801534016,24125701.52983417,37.2,32.16885344723287,34.81358172436201,67.41103546507657,4436898.494511642,3085284.8384345016,3376331.4233800196
G03,3152.338533877046,23169105.550590813,-12096147.13672382,4189117.934868869,24125220.957211044,42.0,32.16882947108836,34.81356001595777,46.9445033269003,4436886.601947625,3085274.074785982,3376318.2760990276
G03,3153.3385354480706,23168766.96605221,-12095660.89115301,4192293.0994308377,24124749.98220768,45.2,32.16878410579681,34.8134402294636,59.794001776725054,4436904.18128928,3085272.5374934087,3376320.8590622335
G03,3154.338537018979,23168428.077678,-12095174.400524184,4195468.173872184,24124279.04210475,44.6,32.16881076407597,34.813494780323694,47.42843072116375,4436891.357861058,3085269.887456816,3376316.77777836
G03,3155.338538565091,23168088.88551704,-12094687.664812176,4198643.158046126,24123815.53579458,46.8,32.168762041587,34.81342881480925,74.37171163130552,4436915.996618079,3085279.4421214913,3376326.549344636
G03,3156.338540141005,23167749.389591098,-12094200.68395362,4201818.0520576015,24123343.094972927,41.2,32.16875588295636,34.813445526439345,53.409466709941626,4436900.82699532,3085270.8135621,3376314.8106415356
G03,3157.338541710982,23167409.589952677,-12093713.457928997,4204992.855724721,24122872.43407348,34.6,32.1687948232003,34.813402322657076,55.89685418922454,4436902.994574337,3085267.3574562916,3376319.7901740815
G03,3158.3385432780487,23167069.486641124,-12093225.98669995,4208167.568988693,24122402.645684924,36.3,32.168743144627285,34.813411916361424,48.727470519952476,4436900.000418289,3085266.3775741872,3376311.122167797
G03,3159.33854484302,23166729.079696488,-12092738.270229332,4211342.191783686,24121933.485504203,35.9,32.16870768306247,34.81346439092948,63.55933909211308,4436909.201469421,3085278.804096372,3376315.6901875315
G03,3160.3385463870363,23166388.36916572,-12092250.308489256,4214516.723981431,24121470.607401863,33.0,32.16876276699997,34.81340708624712,74.2093569021672,4436917.018668082,3085277.656576746,3376326.5309972465
G03,3161.338547979016,23166047.355065584,-12091762.101409515,4217691.165732296,24120993.35032012,33.9,32.168781479419316,34.81337136202358,43.15749503765255,4436896.454728501,3085259.2530433517,3376311.754792393
G03,3163.338551071007,23165364.41639948,-12090784.951198496,4224039.776871066,24120066.407500647,41.6,32.168710574550474,34.81332779450366,52.71237451117486,4436908.8783863485,3085262.8868593564,3376310.186527378
G03,3164.338552609086,23165022.49190137,-12090296.007975057,4227213.946243014,24119605.30932052,45.2,32.16879210848631,34.81329322670224,53.023969675414264,4436907.00417451,3085257.6123666656,3376318.0057840096
G03,3166.338555706083,23164337.732764848,-12089317.385090146,4233562.012366434,24118676.865782324,47.4,32.164076999869344,34.820478727621115,-1491.9044994832948,4435674.9128298545,3085226.193152801,3375052.9649540777
G03,3167.338557274081,23163994.89820423,-12088827.7053506,4236735.909009934,24118206.79819028,44.0,32.16886943949977,34.813102125897814,64.68469275347888,4436921.650013655,3085245.842382963,3376331.4729807014
G03,3168.3385587789817,23163651.760395363,-12088337.78006809,4239909.714375249,24117755.64663427,33.8,32.16401397466577,34.820459161649765,-1464.1777477702126,4435698.288785125,3085240.204693436,3375061.810283261
G03,3169.3385603320785,23163308.319340564,-12087847.609151274,4243083.428747208,24117290.046297967,30.5,32.163952586148255,34.82049142713184,-1469.2433819174767,4435696.005287753,3085242.322783446,3375053.35233756
G03,3170.33856188599,23162964.575096644,-12087357.192586496,4246257.051907047,24116824.201658618,32.1,32.168773854437,34.81333555037033,51.570519094355404,4436904.599841434,3085260.80273013,3376315.518489944
G03,3171.3385633539874,23162620.52773385,-12086866.530379768,4249430.583511134,24116384.113540653,32.1,32.16880781122301,34.81342322031447,65.25933569855988,4436907.74640828,3085273.062496763,3376325.9940530555
G03,3172.338564967038,23162276.17721335,-12086375.622380748,4252604.024224063,24115900.53948008,32.5,32.16877937612331,34.81335927208368,47.56799092981964,4436900.273161305,3085260.5193230235,3376313.90578834
G03,3173.338566531078,23161931.52364238,-12085884.46864808,4255777.37336158,24115431.658502843,31.8,32.168806281265596,34.81331984331934,49.54723418969661,4436902.467681649,3085257.5156404516,3376317.485074074
G03,3174.3385679679923,23161586.567088503,-12085393.06918344,4258950.630607449,24115000.88880115,33.5,32.16874310816804,34.813555117496904,79.37697596475482,4436913.591712395,3085292.27988427,3376327.4369879556
G03,3175.338569596992,23161241.307482056,-12084901.423793351,4262123.796906212,24114512.533380914,34.2,32.168794051537496,34.813425465189404,55.25683013163507,4436901.340996522,3085268.866290898,3376319.3769816873
G03,3176.338571045082,23160895.74499243,-12084409.5326244,4265296.871005915,24114078.41323741,32.2,32.16868692979686,34.81355727885552,83.24563730787486,4436918.887068189,3085296.2104150574,3376324.2233882225
G03,3179.338575749076,23159857.24013085,-12082932.383366931,4274815.544012566,24112668.21046129,38.1,32.168832842394856,34.81348307450234,57.7368004526943,4436898.082062763,3085273.218450953,3376324.338543684
G03,3180.338577285991,23159510.466233533,-12082439.508316385,4277988.25121029,24112207.46128552,33.9,32.16883465108694,34.81348643106931,57.4990586200729,4436897.648420881,3085273.302522195,3376324.3817429175
G03,3181.338578808005,23159163.38959875,-12081946.387221891,4281160.866393852,24111751.179365493,30.8,32.168814998407896,34.81354156055176,62.67264930624515,4436899.2279292485,3085280.7342926003,3376325.291502343
G03,3182.338580376003,23158816.010245785,-12081453.020017134,4284333.389688044,24111281.111773454,31.6,32.168840539049015,34.81354566551399,48.09214145410806,4436887.635779136,3085273.1450634073,3376319.926036008
G03,3183.3385818710085,23158468.32825668,-12080959.406724056,4287505.820647042,24110832.926754456,30.7,32.16886447014393,34.813598971679795,59.31374757643789,4436891.404057235,3085281.8893684335,3376328.14694215
G03,3184.3385833490174,23158120.34365271,-12080465.54727832,4290678.159380139,24110389.83719904,30.8,32.16886586777531,34.81365606050134,86.97972762119025,4436907.489288712,3085299.6331151924,3376343.0079541476
G03,3185.3385848540347,23157772.05645919,-12079971.441621631,4293850.405958573,24109938.65074259,29.8,32.16410688624417,34.82089662754029,-1445.758837656118,4435683.030768432,3085279.844304057,3375080.3352231192
G03,3186.33858648804,23157423.466681145,-12079477.089667017,4297022.560637453,24109448.79460363,31.3,32.16405796300104,34.82081822707864,-1463.9483715714887,4435676.98204267,3085266.6310649808,3375066.060675293
G02,3187.3422932940302,14613060.336205434,-4998376.955335419,22072928.75867802,22769547.176282912,47.1,32.168832109237556,34.813592425443346,40.44310819823295,4436880.210321143,3085273.3535298025,3376315.0620900993
G03,3188.3385974389967,23156725.3769849,-12078487.643106058,4303366.617165248,24106165.793185867,26.1,32.1670969415614,34.808427577727805,-2882.2033142084256,4435211.091764344,3083519.6079548188,3374596.197579265
G28,3189.339186172001,5179170.954239772,25805208.71788568,-3594404.5920204925,23776608.8514989,31.5,32.16887118724693,34.813559201165106,77.3531177137047,4436905.756930522,3085287.300964255,3376338.3819145304
G28,3190.3391878290568,5178943.592421386,25805688.98369317,-3591271.0106439767,23776112.074167315,37.6,32.168833490049025,34.813633838851494,53.71198247093707,4436887.135125802,3085282.9265199634,3376322.2564601265
G03,3191.338602032978,23155675.978537586,-12077001.631444806,4312881.970398838,24104788.571321268,22.8,32.16891618682292,34.8057157788301,-2284.429237741977,4435684.3568099225,3083537.2337913755,3375085.152590271
G28,3192.3391909489874,5178488.831029758,25806648.379988447,-3585003.619405017,23775176.733430523,35.3,32.168849995683,34.813672301538034,57.94487526547164,4436887.205649323,3085287.3942659404,3376326.059456134
G03,3193.338605065015,23154974.86803885,-12076009.724812357,4319225.075643776,24103879.602226067,25.2,32.16892251849785,34.805800425440715,-2273.6758693074808,4435686.9684864255,3083548.7692973493,3375091.47198514
